timestamp,temp_c,humidity_pct,light_raw,sound_avg,sound_amplitude,pir_triggered,accel_x,accel_y,accel_z,accel_magnitude
2026-03-01 0:46:57,21.4,55,1423,207,14,1,-9.456,0.493,2.093,9.697
2026-03-01 0:47:57,21.4,55,1429,206,25,0,-9.439,0.479,2.124,9.687
2026-03-01 0:48:57,21.4,55,1439,206,12,0,-9.47,0.455,2.091,9.709
2026-03-01 0:49:57,21.4,55,1450,206,12,0,-9.436,0.51,2.134,9.688
2026-03-01 0:50:57,21.4,55,1455,205,13,0,-9.477,0.503,2.014,9.702
2026-03-01 0:51:57,21.3,55,1459,205,12,0,-9.463,0.498,2.074,9.7
2026-03-01 0:52:57,21.3,54,1461,205,14,1,-9.47,0.508,2.1,9.713
2026-03-01 0:53:57,21.2,54,1464,206,20,0,-9.484,0.481,2.069,9.719
2026-03-01 0:54:57,21.2,54,1478,206,11,0,-9.453,0.474,2.12,9.699
2026-03-01 0:55:57,21.2,54,1479,206,12,0,-9.47,0.484,2.117,9.716
2026-03-01 0:56:57,21.1,54,1479,206,11,1,-9.446,0.462,2.088,9.685
2026-03-01 0:57:57,21.1,54,1490,206,12,1,-9.453,0.517,2.079,9.693
2026-03-01 0:58:57,21.1,54,1485,205,21,1,-9.479,0.472,2.067,9.714
2026-03-01 0:59:57,21.1,54,1483,206,10,1,-9.496,0.489,2.06,9.729
2026-03-01 1:00:57,21.1,54,1481,205,12,0,-9.463,0.431,2.11,9.705
2026-03-01 1:01:57,21.2,53,1491,206,12,0,-9.494,0.419,2.076,9.727
2026-03-01 1:02:57,21.5,53,1487,205,15,0,-9.499,0.477,2.129,9.746
2026-03-01 1:03:57,21.8,53,1491,206,15,1,-9.494,0.465,2.069,9.728
2026-03-01 1:04:57,22.1,52,1836,205,16,1,-9.496,0.472,2.148,9.748
2026-03-01 1:05:57,22.3,51,1499,206,12,0,-9.494,0.445,2.148,9.744
2026-03-01 1:06:57,22.4,50,3470,206,15,1,-9.422,0.321,2.414,9.732
2026-03-01 1:07:57,22.5,50,3475,206,12,0,-9.412,0.378,2.393,9.719
2026-03-01 1:08:57,22.5,50,3473,206,12,1,-9.41,0.345,2.438,9.727
2026-03-01 1:09:57,22.4,50,3510,207,16,1,-9.446,0.352,2.366,9.744
2026-03-01 1:10:57,22.1,51,3367,206,15,1,-9.405,0.357,2.424,9.719
2026-03-01 1:11:57,21.8,51,3363,206,12,1,-9.444,0.378,2.429,9.758
2026-03-01 1:12:57,21.5,51,3374,206,12,1,-9.417,0.345,2.445,9.736
2026-03-01 1:13:57,21.3,51,3479,206,15,1,-9.448,0.366,2.333,9.739
2026-03-01 1:14:57,21.1,51,3463,206,14,0,-9.456,0.448,2.165,9.711
2026-03-01 1:15:57,21,51,3511,206,12,0,-9.439,0.395,2.287,9.72
2026-03-01 1:16:57,21,51,3508,206,14,0,-9.448,0.424,2.29,9.731
2026-03-01 1:17:57,21,52,3502,206,15,1,-9.444,0.386,2.194,9.703
2026-03-01 1:18:57,20.9,52,3501,206,14,0,-9.491,0.17,1.892,9.68
2026-03-01 1:19:57,20.9,51,3869,206,13,0,-9.501,0.16,1.926,9.696
2026-03-01 1:20:57,20.8,51,3866,206,10,0,-9.52,0.18,1.904,9.71
2026-03-01 1:21:57,20.8,51,3865,206,13,0,-9.511,0.141,1.909,9.701
2026-03-01 1:22:57,20.7,51,3869,206,12,0,-9.499,0.163,1.894,9.687
2026-03-01 1:23:57,20.6,51,3868,206,12,0,-9.503,0.153,1.899,9.693
2026-03-01 1:24:57,20.6,51,3868,206,22,0,-9.503,0.168,1.954,9.704
2026-03-01 1:25:57,20.6,51,3868,206,13,0,-9.508,0.122,1.926,9.702
2026-03-01 1:26:57,20.5,51,3862,206,11,0,-9.523,0.194,1.914,9.715
2026-03-01 1:27:57,20.5,51,3870,206,17,0,-9.52,0.17,1.928,9.715
2026-03-01 1:28:57,20.4,51,3867,206,12,0,-9.52,0.16,1.887,9.707
2026-03-01 1:29:57,20.4,51,3871,206,13,0,-9.508,0.189,2.017,9.722
2026-03-01 1:30:57,20.4,52,3871,206,10,0,-9.508,0.168,1.899,9.698
2026-03-01 1:31:57,20.3,52,3863,206,11,0,-9.523,0.184,1.914,9.715
2026-03-01 1:32:57,20.3,52,3865,206,12,0,-9.482,0.16,1.825,9.657
2026-03-01 1:33:57,20.3,52,3871,206,17,0,-9.53,0.18,1.887,9.717
2026-03-01 1:34:57,20.2,52,3866,207,13,0,-9.544,0.158,1.882,9.729
2026-03-01 1:35:57,20.2,52,3866,206,10,0,-9.491,0.204,1.882,9.678
2026-03-01 1:36:57,20.2,51,3869,206,18,0,-9.496,0.184,1.832,9.673
2026-03-01 1:37:57,20.2,51,3864,206,12,0,-9.494,0.153,1.887,9.681
2026-03-01 1:38:57,20.1,51,3870,206,13,0,-9.535,0.17,1.894,9.722
2026-03-01 1:39:57,20.1,51,3866,206,14,0,-9.542,0.137,1.803,9.712
2026-03-01 1:40:57,20.1,51,3870,207,10,0,-9.525,0.139,1.894,9.713
2026-03-01 1:41:57,20.1,51,3866,206,18,0,-9.566,0.153,1.837,9.742
2026-03-01 1:42:57,20,52,3865,206,14,0,-9.554,0.148,1.832,9.729
2026-03-01 1:43:57,20,52,3871,206,11,0,-9.544,0.129,1.844,9.722
2026-03-01 1:44:57,20,52,3861,206,10,0,-9.544,0.146,1.808,9.715
2026-03-01 1:45:57,20,53,3877,206,20,0,-9.542,0.16,1.849,9.721
2026-03-01 1:46:57,20,53,3869,207,12,0,-9.506,0.165,1.839,9.684
2026-03-01 1:47:57,20,52,3869,206,18,0,-9.537,0.175,1.873,9.721
2026-03-01 1:48:57,20,52,3864,206,13,0,-9.551,0.151,1.873,9.734
2026-03-01 1:49:57,19.9,52,3865,206,13,0,-9.563,0.168,1.835,9.739
2026-03-01 1:50:57,19.9,52,3868,207,16,0,-9.513,0.177,1.906,9.704
2026-03-01 1:51:57,19.9,52,3875,206,14,0,-9.496,0.163,1.856,9.677
2026-03-01 1:52:57,19.9,51,3861,206,12,0,-9.52,0.148,1.892,9.708
2026-03-01 1:53:57,19.9,51,3868,206,13,0,-9.542,0.151,1.823,9.715
2026-03-01 1:54:57,19.9,52,3865,207,14,0,-9.527,0.12,1.854,9.707
2026-03-01 1:55:57,19.9,52,3864,206,26,0,-9.53,0.146,1.868,9.712
2026-03-01 1:56:57,19.9,51,3863,206,14,0,-9.513,0.175,1.825,9.688
2026-03-01 1:57:57,19.9,51,3866,206,11,0,-9.547,0.137,1.835,9.722
2026-03-01 1:58:57,19.9,51,3870,206,14,0,-9.53,0.132,1.871,9.713
2026-03-01 1:59:57,19.9,51,3861,206,14,0,-9.503,0.127,1.871,9.687
2026-03-01 2:00:57,19.9,52,3868,206,19,0,-9.53,0.158,1.887,9.716
2026-03-01 2:01:57,19.9,52,3869,206,15,0,-9.489,0.192,1.827,9.665
2026-03-01 2:02:57,19.9,52,3868,206,14,0,-9.506,0.148,1.921,9.699
